# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Aug 18 04:34:30 2021
#
# CONSTRAINT:  where (ismostprecise = 1
# CONSTRAINT:  and transitduration < 8
# CONSTRAINT:  and transitdepthcalc > 0.4)
#
# COLUMN planetname:     Data Source Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN obsname:        Observatory Name
# COLUMN reflink:        Reference
# COLUMN algorithm:      Algorithm
# COLUMN isdefault:      Default Parameters Flag
# COLUMN ismostprecise:  Most-Precise Flag
# COLUMN phase:          Phase
# COLUMN period:         Period [days]
# COLUMN transitduration: Transit Duration [hours]
# COLUMN transitdepthdb: Transit Depth - Measured [percent]
# COLUMN transitdepthcalc: Transit Depth - Calculated [percent]
# COLUMN ttv:            TTV flag
# COLUMN midpointcalendar: Event Midpoint Calendar UT
# COLUMN propmidpointunc: Propagated Midpoint Uncertainty [days]
# COLUMN midpointairmass: Event Midpoint Airmass
# COLUMN targetobsstartcalendar: Target Observability Start Calendar UT
# COLUMN targetobsendcalendar: Target Observability End Calendar UT
# COLUMN fractionobservable: Event Fraction Observable
#
planetname,ra_str,ra,dec_str,dec,obsname,reflink,algorithm,isdefault,ismostprecise,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,midpointcalendar,propmidpointunc,midpointairmass,targetobsstartcalendar,targetobsendcalendar,fractionobservable
CoRoT-6 b,18h44m17.41s,281.072556,06d39m47.54s,6.663206,,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,Transit Ephemeris,1,1,0.000000,8.886593,4.080000,,1.366533,0,08/21/2021 04:40,0.002384,,,,
CoRoTID 223977153 b,06h40m46.84s,100.195171,09d15m26.62s,9.257395,,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,Transit Ephemeris,1,1,0.000000,6.718370,2.496000,0.290000,0.549751,0,08/22/2021 14:39,0.007280,,,,
CoRoT-10 b,19h24m15.28s,291.063681,00d44m45.65s,0.746014,,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,Transit Ephemeris,1,1,0.000000,13.240600,2.980000,1.610360,1.592063,0,08/23/2021 22:02,0.079400,,,,
CoRoT-11 b,18h42m44.95s,280.687300,05d56m15.57s,5.937659,,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,Transit Ephemeris,1,1,0.000000,2.994330,2.500900,1.144900,1.150540,0,08/18/2021 23:59,0.018109,,,,
CoRoT-13 b,06h50m53.07s,102.721143,-05d05m11.24s,-5.086456,,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,Transit Ephemeris,1,1,0.000000,4.035190,3.140000,,0.810802,0,08/20/2021 22:02,0.035220,,,,
CoRoT-14 b,06h53m41.81s,103.424202,-05d32m09.74s,-5.536039,,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,Transit Ephemeris,1,1,0.000000,1.512140,1.662000,,0.856945,0,08/18/2021 13:27,0.405700,,,,
CoRoT-16 b,18h34m05.92s,278.524666,-06d00m09.37s,-6.002603,,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,Transit Ephemeris,1,1,0.000000,5.352270,2.390000,1.020000,1.020819,0,08/20/2021 01:58,0.171100,,,,
CoRoT-17 b,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,Transit Ephemeris,1,1,0.000000,3.768100,4.720000,0.440000,0.434587,0,08/18/2021 12:42,0.363600,,,,
CoRoT-19 b,06h28m08.06s,97.033598,-00d10m14.63s,-0.170729,,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,Transit Ephemeris,1,1,0.000000,3.897130,4.700000,,0.645479,0,08/20/2021 08:32,0.022100,,,,
CoRoT-21 b,06h44m12.63s,101.052621,-00d17m56.96s,-0.299154,,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,Transit Ephemeris,1,1,0.000000,2.724740,4.760000,,0.469341,0,08/18/2021 17:55,0.260180,,,,
