c1,Caldwell 1,NGC 188,-,Open cluster,00h44m24.0s,+85d20m00s,8.1,4.8,Cepheus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/IC342.jpg/500px-IC342.jpg
c2,Caldwell 2,NGC 40,Bow-Tie Nebula,Planetary nebula,00h13m0.0s,+72d32m00s,11,3.5,Cepheus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/N6543s.jpg/500px-N6543s.jpg
c3,Caldwell 3,NGC 4236,-,Galaxy,12h16m42.0s,+69d28m00s,9.7,7000,Draco,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/NGC_2403_CDK_Large_04.jpg/500px-NGC_2403_CDK_Large_04.jpg
c4,Caldwell 4,NGC 7023,Iris Nebula,Open cluster,21h01m48.0s,+68d12m00s,7,1.4,Cepheus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/NGC_559.png/500px-NGC_559.png
c5,Caldwell 5,IC 342,Hidden Galaxy,Galaxy,03h46m48.0s,+68d06m00s,9,10000,Camelopardalis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cave_Nebula.jpg/500px-Cave_Nebula.jpg
c6,Caldwell 6,NGC 6543,Cat's Eye Nebula,Planetary nebula,17h58m36.0s,+66d38m00s,9,3,Draco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/NGC663HunterWilson.jpg/500px-NGC663HunterWilson.jpg
c7,Caldwell 7,NGC 2403,-,Galaxy,07h36m54.0s,+65d36m00s,8.4,14000,Camelopardalis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/The_Bubble_Nebula_-_NGC_7635_-_Heic1608a.jpg/500px-The_Bubble_Nebula_-_NGC_7635_-_Heic1608a.jpg
c8,Caldwell 8,NGC 559,-,Open cluster,01h29m30.0s,+63d18m00s,9.5,3.7,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/SpiralGalaxy_NGC6946.jpg/500px-SpiralGalaxy_NGC6946.jpg
c9,Caldwell 9,Sh2-155,Cave Nebula,Emission nebula,22h56m48.0s,+62d37m00s,7.7,2.8,Cepheus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/NGC457.jpg/500px-NGC457.jpg
c10,Caldwell 10,NGC 663,-,Open cluster,01h46m0.0s,+61d15m00s,7.1,7.2,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/NGC869NGC884.jpg/500px-NGC869NGC884.jpg
c11,Caldwell 11,NGC 7635,Bubble Nebula,Emission nebula,23h20m42.0s,+61d12m00s,10,7.1,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/NGC_6826HSTFull.jpg/500px-NGC_6826HSTFull.jpg
c12,Caldwell 12,NGC 6946,Fireworks Galaxy,Galaxy,20h34m48.0s,+60d09m00s,8.9,18000,Cepheus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/NGC_7243_.jpg/500px-NGC_7243_.jpg
c13,Caldwell 13,NGC 457,Owl Cluster  E.T. Cluster,Open cluster,01h19m6.0s,+58d20m00s,6.4,8,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/NGC_0147_2MASS.jpg/500px-NGC_0147_2MASS.jpg
c14,Caldwell 14,NGC 869,Double Cluster  h & χ Persei,Open cluster,02h20m0.0s,+57d08m00s,4,7.3,Perseus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ngc185_rgb_combined.jpg/500px-Ngc185_rgb_combined.jpg
c15,Caldwell 15,NGC 6826,Blinking Planetary,Planetary nebula,19h44m48.0s,+50d31m00s,10,2.2,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Cocoon-Nebula.jpg/500px-Cocoon-Nebula.jpg
c16,Caldwell 16,NGC 7243,-,Open cluster,22h15m18.0s,+49d53m00s,6.4,2.5,Lacerta,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Nord_america.jpg/500px-Nord_america.jpg
c17,Caldwell 17,NGC 147,-,Galaxy,00h33m12.0s,+48d30m00s,9.3,2300,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Starburst_in_NGC_4449_%28captured_by_the_Hubble_Space_Telescope%29.jpg/500px-Starburst_in_NGC_4449_%28captured_by_the_Hubble_Space_Telescope%29.jpg
c18,Caldwell 18,NGC 185,-,Galaxy,00h39m0.0s,+48d20m00s,9.2,2300,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ngc7662hst.jpg/500px-Ngc7662hst.jpg
c19,Caldwell 19,IC 5146,Cocoon Nebula,Open cluster,21h53m30.0s,+47d16m00s,7.2,3.3,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/NGC891HunterWilson.jpg/500px-NGC891HunterWilson.jpg
c20,Caldwell 20,NGC 7000,North America Nebula,Emission nebula,20h58m48.0s,+44d20m00s,4,2.6,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/NGC_1275_Hubble.jpg/500px-NGC_1275_Hubble.jpg
c21,Caldwell 21,NGC 4449,-,Irregular galaxy,12h28m12.0s,+44d06m00s,9.4,10000,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/NGC_2419.jpg/500px-NGC_2419.jpg
c22,Caldwell 22,NGC 7662,Blue Snowball,Planetary nebula,23h25m54.0s,+42d33m00s,9,3.2,Andromeda,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/NGC4244.jpg/500px-NGC4244.jpg
c23,Caldwell 23,NGC 891,Silver Sliver Galaxy,Galaxy,02h22m36.0s,+42d21m00s,10,31000,Andromeda,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/CrescentBicolorHunterWilson.jpg/500px-CrescentBicolorHunterWilson.jpg
c24,Caldwell 24,NGC 1275,Perseus A,Galaxy,03h19m48.0s,+41d31m00s,11.6,230000,Perseus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/NGC_752.png/500px-NGC_752.png
c25,Caldwell 25,NGC 2419,-,Globular cluster,07h38m6.0s,+38d53m00s,10.4,275,Lynx,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/NGC_5005.jpg/500px-NGC_5005.jpg
c26,Caldwell 26,NGC 4244,-,Galaxy,12h17m30.0s,+37d49m00s,10.2,10000,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/NGC_7331_zoomed.jpg/500px-NGC_7331_zoomed.jpg
c27,Caldwell 27,NGC 6888,Crescent Nebula,Emission nebula,20h12m0.0s,+38d21m00s,7.4,4.7,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/FlamingStarHunterWilson.jpg/500px-FlamingStarHunterWilson.jpg
c28,Caldwell 28,NGC 752,-,Open cluster,01h57m48.0s,+37d41m00s,5.7,1.2,Andromeda,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/NGC4631-stargazer-obs.jpg/500px-NGC4631-stargazer-obs.jpg
c29,Caldwell 29,NGC 5005,-,Galaxy,13h10m54.0s,+37d03m00s,9.8,69000,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Eastern_Veil.jpg/500px-Eastern_Veil.jpg
c30,Caldwell 30,NGC 7331,-,Galaxy,22h37m6.0s,+34d25m00s,9.5,47000,Pegasus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/WestVeilHunterWilson.jpg/500px-WestVeilHunterWilson.jpg
c31,Caldwell 31,IC 405,Flaming Star Nebula,Emission nebula,05h16m12.0s,+34d16m00s,13,1.6,Auriga,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Caldwell_35.jpg/500px-Caldwell_35.jpg
c32,Caldwell 32,NGC 4631,Whale Galaxy,Galaxy,12h42m6.0s,+32d32m00s,9.3,22000,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/NGC_4559_I_FUV_g2006.jpg/500px-NGC_4559_I_FUV_g2006.jpg
c33,Caldwell 33,NGC 6992,East Veil Nebula,Supernova remnant,20h56m24.0s,+31d43m00s,7,2.5,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/NGC_6885.png/500px-NGC_6885.png
c34,Caldwell 34,NGC 6960,West Veil Nebula,Supernova remnant,20h45m42.0s,+30d43m00s,7,2.5,Cygnus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Needle_Galaxy_4565.jpeg/500px-Needle_Galaxy_4565.jpeg
c35,Caldwell 35,NGC 4889,Coma B,Galaxy,13h00m6.0s,+27d59m00s,11.4,300000,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Ngc2392.jpg/500px-Ngc2392.jpg
c36,Caldwell 36,NGC 4559,-,Galaxy,12h36m0.0s,+27d58m00s,9.9,32000,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/NGC3626_-_SDSS_DR14.jpg/500px-NGC3626_-_SDSS_DR14.jpg
c37,Caldwell 37,NGC 6885,-,Open cluster,20h12m0.0s,+26d29m00s,6,1.95,Vulpecula,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Hyades.jpg/500px-Hyades.jpg
c38,Caldwell 38,NGC 4565,Needle Galaxy,Galaxy,12h36m18.0s,+25d59m00s,9.6,32000,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Caldwell_42.jpg/500px-Caldwell_42.jpg
c39,Caldwell 39,NGC 2392,Eskimo Nebula/Clown Face Nebula,Planetary nebula,07h29m12.0s,+20d55m00s,10,4,Gemini,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/NGC7814HunterWilson.jpg/500px-NGC7814HunterWilson.jpg
c40,Caldwell 40,NGC 3626,-,Galaxy,11h20m6.0s,+18d21m00s,10.9,86000,Leo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/NGC7479_Goran_Nilsson_%26_The_Liverpool_Telescope.jpg/500px-NGC7479_Goran_Nilsson_%26_The_Liverpool_Telescope.jpg
c41,Caldwell 41,Mel 25,Hyades,Open cluster,04h27m0.0s,+16d00m00s,0.5,0.151,Taurus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/N5248s.jpg/500px-N5248s.jpg
c42,Caldwell 42,NGC 7006,-,Globular cluster,21h01m30.0s,+16d11m00s,10.6,135,Delphinus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ngc2261.jpg/500px-Ngc2261.jpg
c43,Caldwell 43,NGC 7814,-,Galaxy,00h03m18.0s,+16d09m00s,10.5,49000,Pegasus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/NGC_6934_Hubble_WikiSky.jpg/500px-NGC_6934_Hubble_WikiSky.jpg
c44,Caldwell 44,NGC 7479,-,Galaxy,23h04m54.0s,+12d19m00s,11,106000,Pegasus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/NGC_2775.png/500px-NGC_2775.png
